,0,2,4,6,8,,,
,106317,195156,292225,365416,391853,,,
,105666,194725,292506,365571,392973,,0,105924.8
,105766,192896,293966,365507,392034,,2,195608.55
,106444,195504,294203,365522,391611,,4,301980.25
,105582,195195,292915,365668,391351,,6,365238
,105954,193974,293229,364062,392920,,8,392178.7
,106119,194724,292585,365182,391788,,,
,105805,195236,307425,364561,391749,,,
,106152,194775,305989,366063,392316,,,
,105803,194816,303008,366442,391545,,,
,105759,195063,309588,365331,392335,,,
,105335,196146,308090,366236,392531,,,
,105708,196749,307253,365029,392323,,,
,106375,196593,307627,364250,392448,,,
,106028,197343,307911,364442,392810,,,
,106503,196774,306955,365467,391540,,,
,105977,196559,306983,364396,392216,,,
,105976,196501,305777,363808,392602,,,
,105723,196764,305637,366301,392134,,,
,105504,196678,305733,365506,392495,,,
,105924.8,195608.55,301980.25,365238,392178.7,,,
